ID,Standard_Age,Site_Name,variable,Latitude,Longitude,Location,Sampling,Loc_Samp_NO,Loc_Samp_ALL,Earliest_Year,Most_Recent_Year,Early_Age,Late_Age,Time_Unit,Country,Title,Authors,DOI,file_dir
13.0,"['Meghalayan', 'Northgrippian', 'Greenlandian']", Grotte de Piste,"['##"" in columns one and two.', '## depth_mm\tdepth, , , mm, , , Depth from stalagmite top, ,N', '## age_calkaBP\tage, , , calendar years before present, , , ka BP 1950, ,N', '## d18OcarbVPDB\tdelta18O, calcium carbonate, , per mil VPDB, ,speleothem, detrended, analytical technique: isotope ratio mass spectrometry,N ', '## d13CcarbVPDB\tdelta13C, calcium carbonate, , per mil VPDB, ,speleothem, detrended, analytical technique: isotope ratio mass spectrometry,N ']",35.86,-5.41,5,11,4,4,11416.0,2573.0,0.011416,0.002573, Cal Year BP, Morocco, Reorganization of the North Atlantic Oscillation during early Holocene deglaciation,"  Jasper A. Wassenburg, Stephan Dietrich, Jan Fietzke, Jens Fohlmeister, Klaus Peter Jochum, Denis Scholz, Detlev K. Richter, Abdellah Sabaoui, Christoph Spotl, Gerrit Lohmann, Meinrat O. Andreae, Adrian Immenhauser", 10.1038/ngeo2767,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\grottedepiste2016iso.txt
14.0,['Meghalayan'], Grotte de Piste,"['##"" in columns one and two.', '## depth_mm\tdepth,,,mm,,,Depth from stalagmite top,,N,', '## age_calBP\tage, , , calendar years before present, , , , ,N,', '## d18OcarbVPDB\tOxygen isotope,calcium carbonate,,per mil VPDB,,speleothem,,isotope ration mass spectrometry,N,']",33.95,-4.246,4,12,5,6,1039.0,-8.0,0.001039,0.0, Cal Year BP, Morocco, Multi-decadal to centennial hydro-climate variability and linkage to solar forcing in the Western Mediterranean during the last 1000 years," Yassine Ait Brahim, Jasper A. Wassenburg, Francisco W. Cruz, Abdelfettah Sifeddine, Denis Scholz, Lhoussaine Bouchaou, Emilie P. Dassié, Klaus P. Jochum, R. Lawrence Edwards, Hai Cheng",10.1038/s41598-018-35498-x ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\grottedepiste2018d18o.txt
15.0,"['Meghalayan', 'Northgrippian', 'Greenlandian']", Grotte de Piste,"['##"" in columns one and two.', '## depth_mm\tdepth, , , mm, , , , ,N,Depth from stalagmite top', '## age_calBP\tage, , , calendar years before present, , , , ,N,', '## d18OcarbVPDB\tdelta 18O, calcium carbonate, , per mil VPDB, ,speleothems,,isotope ratio mass spectrometry,N, ']",33.95,-4.246,4,13,6,6,11415.0,2537.0,0.011415,0.002537, Cal Year BP, Morocco, Insights From Western Mediterranean Speleothems," Y. Ait Brahim, J.A. Wassenburg, L. Sha, F.W. Cruz, M. Deininger, A. Sifeddine, L. Bouchaou, Christoph Spotl, R.L. Edwards, H. Cheng",10.1029/2019GL082405 ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\grottedepiste2019d18o.txt
16.0,['Meghalayan'], Ifoulki Cave,"['##"" in columns one and two.', '## depth_mm\tdepth,,,mm,,,Depth from stalagmite top,,N,', '## age_CE\tage,,,years CE,,,,,N,', '## Mg25\tMagnesium,Calcium carbonate,,parts per million,,speleothem,,Laser Ablation ICPMS,N,', '## Sr88\tStrontium,Calcium carbonate,,parts per million,,speleothem,,Laser Ablation ICPMS,N,']",30.71,-9.32,6,14,1,2,790.0,1939.0,0.00116,1.1e-05, AD, Morocco, Speleothem records decadal to multidecadal hydroclimate variations in southwestern Morocco during the last millennium," Yassine Ait Brahim, Hai Cheng, Abdelfettah Sifeddine, Jasper A. Wassenburg, Francisco W. Cruz, Myriam Khodri, Lijuan Sha, Núria Pérez-Zanón, El Hassane Beraaouz, James Apaéstegui, Jean-Loup Guyot, Klaus Peter Jochum, Lhoussaine Bouchaou ",10.1016/j.epsl.2017.07.045 ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\ifoulki2017elem.txt
17.0,['Meghalayan'], Ifoulki Cave,"['##"" in columns one and two.', '## depth_mm\tdepth,,,mm,,,Depth from stalagmite top,,N,', '## age_CE\tage,,, years CE,,,,,N,', '## d13CcarbVPDB\tdelta 13C,calcium carbonate,,per mil VPDB,,speleothem,,isotope ration mass spectrometry,N,', '## d18OcarbVPDB\tdelta 18O,calcium carbonate,,per mil VPDB,,speleothem,,isotope ration mass spectrometry,N,']",30.71,-9.32,6,15,2,2,790.0,1953.0,0.00116,0.0, AD, Morocco, Speleothem records decadal to multidecadal hydroclimate variations in southwestern Morocco during the last millennium," Yassine Ait Brahim, Hai Cheng, Abdelfettah Sifeddine, Jasper A. Wassenburg, Francisco W. Cruz, Myriam Khodri, Lijuan Sha, Núria Pérez-Zanón, El Hassane Beraaouz, James Apaéstegui, Jean-Loup Guyot, Klaus Peter Jochum, Lhoussaine Bouchaou ",10.1016/j.epsl.2017.07.045 ,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\ifoulki2017iso.txt
18.0,['Meghalayan'], Ifoulki Cave,"['##"" in columns one and two.', '## depth\tdepth,,,millimeter,,speleothems,,,N,Depth from stalagmite top', '## age\tage,,,Year Common Era,,speleothems,,,N,', '## d18O\tdelta 18O,calcium carbonate,,per mil VPDB,,speleothems,,isotope ratio mass spectrometry,N,', '## d13C\tdelta 13C,calcium carbonate,,per mil VPDB,,speleothems,,isotope ratio mass spectrometry,N,']",30.71,-9.33,7,16,1,2,350.0,2010.0,0.0016,0.0, AD,MAR," The ""Hockey Stick"" imprint in Northwest African speleothems"," Lijuan Sha, Yassine Ait Brahim, Jasper A. Wassenburg, Jianjun Yin,Jiayu Lu, Francisco W. Cruz, Yanjun Cai, R. Lawrence Edwards, Hai Cheng",10.1029/2021GL094232,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\ifoulki2021-ifk2.txt
19.0,['Meghalayan'], Ifoulki Cave,"['##"" in columns one and two.', '## age\tage,,,Year Common Era,,speleothems,,,N,IFK composite Age (AD)', '## d18O\tdelta 18O,calcium carbonate,,per mil VPDB,,speleothems,composited,isotope ratio mass spectrometry,N, Composite of IFK1 and IFK2']",30.71,-9.33,7,17,2,2,403.0,2010.0,0.001547,0.0, AD,MAR," The ""Hockey Stick"" imprint in Northwest African speleothems"," Lijuan Sha, Yassine Ait Brahim, Jasper A. Wassenburg, Jianjun Yin,Jiayu Lu, Francisco W. Cruz, Yanjun Cai, R. Lawrence Edwards, Hai Cheng",10.1029/2021GL094232,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\ifoulki2021composite.txt
20.0,['Meghalayan'], Grotte de Piste,[],34.0,-4.0,8,18,1,1,748.0,1962.0,0.001202,0.0, AD, Morocco, Moroccan speleothem and tree ring records suggest a variable positive state of the North Atlantic Oscillation during the," J.A. Wassenburg, A. Immenhauser,D. K. Richter, A. Niedermayr, S. Riechelmann, J. Fietzke, D. Scholz, K. P. Jochum, J. Fohlmeister, A. Schr??der-Ritzrau, A.Sabaoui,D.F.C. Riechelmann,L.Schneider,J.Esper",Unknown_DOI,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\wassenburg2013-mg-sr.txt
21.0,"['Meghalayan', 'Northgrippian', 'Greenlandian']", Wintimdouine Cave,"['##"" in columns one and two.', '## sample\tsample ID,,,,,speleothems,,,C, Stalagmites WIN1; WIN2; WIN3; and composite of all 3 ', '## depth\tdepth, , , mm, , speleothems, , ,N, Depth from stalagmite top', '## age_CE\tage, , , year before present, , speleothems, , ,N,', '## d18O\tdelta18O, calcium carbonate, , per mil VPDB, ,speleothems,,isotope ratio mass spectrometry,N,']",30.77,-9.49,9,19,1,2,11562.0,-3.0,0.011562,0.0, Cal Year BP, Morocco, How far north did the African Monsoon fringe expand during the African Humid Period? - Insights from Southwest Moroccan speleothems," Lijuan Sha, Yassine Ait Brahim, Jasper A. Wassenburg, Jianjun Yin, Matthew Peros, Yanjun Cai, Hanying Li, Wenjing Du, Haiwei Zhang, R. Lawrence Edwards, Hai Cheng",Unknown_DOI,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\wintimdouine2019d18o.txt
22.0,['Meghalayan'], Wintimdouine Cave,"['##"" in columns one and two.', '## age\tage,,,Year Common Era,,speleothems,,,N, WIN composite Age (AD)', '## d18O\tdelta 18O,calcium carbonate,,per mil VPDB,,speleothems,composited,isotope ratio mass spectrometry,N, Composite of WIN2 and WIN3']",30.77,-9.49,9,20,2,2,291.0,2010.0,0.001659,0.0, AD,MAR," The ""Hockey Stick"" imprint in Northwest African speleothems"," Lijuan Sha, Yassine Ait Brahim, Jasper A. Wassenburg, Jianjun Yin,Jiayu Lu, Francisco W. Cruz, Yanjun Cai, R. Lawrence Edwards, Hai Cheng",10.1029/2021GL094232,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\africa\wintimdouine2021composite.txt
23.0,['Upper'], Abaco Island Cave,"['##"" in columns one and two.', '## depth_um\tdepth, , , um, , , , ,N', '## age_calBP\tage, , , calendar years before present, , , , ,N', '## d18OcarbPDB\tdelta18O, calcium carbonate, , per mil PDB, ,speleothem, , analytical technique: isotope ratio mass spectrometry,N ', '## d13CcarbPDB\tdelta13C, calcium carbonate, , per mil PDB, ,speleothem, , analytical technique: isotope ratio mass spectrometry,N ']",26.23,-77.16,10,21,1,5,32076.0,13766.0,0.032076,0.013766, Cal Year BP, Bahamas, Bahamian speleothem reveals temperature decrease associated with Heinrich stadials," Monica M. Arienzo, Peter K. Swart, Ali Pourmand, Kenny Broad, Amy C. Clement, Lisa N. Murphy, Hubert B. Vonhof, Brian Kakuk ", 10.1016/j.epsl.2015.08.035,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\atlantic\abaco2015iso.txt
24.0,['Upper'], Abaco Island Cave,"['##"" in columns one and two.', '## depth_um\tdepth, , , um, , , , ,N', '## age_calBP\tage, , , calendar years before present, , , , ,N', '## d13CcarbPDB\tdelta13C, calcium carbonate, , per mil PDB, ,speleothem, , analytical technique: isotope ratio mass spectrometry,N ', '## d18OcarbPDB\tdelta18O, calcium carbonate, , per mil PDB, ,speleothem, , analytical technique: isotope ratio mass spectrometry,N ', '## Sr/Ca\tStrontium/Calcium ratio, calcium carbonate, , mmol mol-1, ,speleothem, , analytical technique: inductively coupled plasma optical emission spectroscopy,N ', '## Mg/Ca\tMagnesium/Calcium ratio, calcium carbonate, , mmol mol-1, ,speleothem, , analytical technique: inductively coupled plasma optical emission spectroscopy,N ']",26.23,-77.16,10,22,2,5,28895.0,23699.0,0.028895,0.023699, Cal Year BP, Bahamas, Multi-proxy evidence of millennial climate variability from multiple Bahamian speleothems," Monica M. Arienzo, Peter K. Swart, Kenny Broad, Amy C. Clement, Ali Pourmand, Brian Kakuk ",10.?1016/?j.?quascirev.?2017.?02.?004,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\atlantic\abaco2017dc-01.txt
25.0,['Upper'], Abaco Island Cave,"['##"" in columns one and two.', '## depth_um\tdepth, , , um, , , , ,N', '## age_calBP\tage, , , calendar years before present, , , , ,N', '## d13CcarbPDB\tdelta13C, calcium carbonate, , per mil PDB, ,speleothem, , analytical technique: isotope ratio mass spectrometry,N ', '## d18OcarbPDB\tdelta18O, calcium carbonate, , per mil PDB, ,speleothem, , analytical technique: isotope ratio mass spectrometry,N ', '## Sr/Ca\tStrontium/Calcium ratio, calcium carbonate, , mmol mol-1, ,speleothem, , analytical technique: inductively coupled plasma optical emission spectroscopy,N ', '## Mg/Ca\tMagnesium/Calcium ratio, calcium carbonate, , mmol mol-1, ,speleothem, , analytical technique: inductively coupled plasma optical emission spectroscopy,N ']",26.23,-77.16,10,23,3,5,15704.0,14308.0,0.015704,0.014308, Cal Year BP, Bahamas, Multi-proxy evidence of millennial climate variability from multiple Bahamian speleothems," Monica M. Arienzo, Peter K. Swart, Kenny Broad, Amy C. Clement, Ali Pourmand, Brian Kakuk ", 10.?1016/?j.?quascirev.?2017.?02.?004,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\atlantic\abaco2017dc-03.txt
26.0,['Upper'], Abaco Island Cave,"['##"" in columns one and two.', '## depth_um\tdepth, , , um, , , , ,N', '## age_calBP\tage, , , calendar years before present, , , , ,N', '## Sr/Ca\tStrontium/Calcium ratio, calcium carbonate, , mmol mol-1, ,speleothem, , analytical technique: inductively coupled plasma optical emission spectroscopy,N ', '## Mg/Ca\tMagnesium/Calcium ratio, calcium carbonate, , mmol mol-1, ,speleothem, , analytical technique: inductively coupled plasma optical emission spectroscopy,N ']",26.23,-77.16,10,24,4,5,31811.0,13766.0,0.031811,0.013766, Cal Year BP, Bahamas, Multi-proxy evidence of millennial climate variability from multiple Bahamian speleothems," Monica M. Arienzo, Peter K. Swart, Kenny Broad, Amy C. Clement, Ali Pourmand, Brian Kakuk ",10.?1016/?j.?quascirev.?2017.?02.?004,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\atlantic\abaco2017dc-09.txt
27.0,['Upper'], Abaco Island Cave,"['##"" in columns one and two.', '## depth_um\tdepth, , , um, , , , ,N', '## age_calBP\tage, , , calendar years before present, , , , ,N', '## d13CcarbPDB\tdelta13C, calcium carbonate, , per mil PDB, ,speleothem, , analytical technique: isotope ratio mass spectrometry,N ', '## d18OcarbPDB\tdelta18O, calcium carbonate, , per mil PDB, ,speleothem, , analytical technique: isotope ratio mass spectrometry,N ', '## Sr/Ca\tStrontium/Calcium ratio, calcium carbonate, , mmol mol-1, ,speleothem, , analytical technique: inductively coupled plasma optical emission spectroscopy,N ', '## Mg/Ca\tMagnesium/Calcium ratio, calcium carbonate, , mmol mol-1, ,speleothem, , analytical technique: inductively coupled plasma optical emission spectroscopy,N ']",26.23,-77.16,10,25,5,5,63848.0,36122.0,0.063848,0.036122, Cal Year BP, Bahamas, Multi-proxy evidence of millennial climate variability from multiple Bahamian speleothems," Monica M. Arienzo, Peter K. Swart, Kenny Broad, Amy C. Clement, Ali Pourmand, Brian Kakuk ",10.?1016/?j.?quascirev.?2017.?02.?004,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\atlantic\abaco2017dc-12.txt
29.0,['Meghalayan'],  Yok Balum Cave,"['## age_calBP\tage,,,calendar year before present,,speleothems,,,N,', '## age_AD\tage,,,year Common Era,,speleothems,,,N,', '## d18OcarbVPDB\tdelta 18O,calcium carbonate,,per mil VPDB,,speleothems,,isotope ratio mass spectrometry,N,', '## d18OcarbVPDB1s\tdelta 18O,calcium carbonate,one standard deviation,per mil VPDB,,speleothems,,isotope ratio mass spectrometry,N,', '## d18OcarbVPDB1s-\tdelta 18O,calcium carbonate,one standard deviation lower bound,per mil VPDB,,speleothems,,isotope ratio mass spectrometry,N,', '## d18OcarbVPDB1s+\tdelta 18O,calcium carbonate,one standard deviation upper bound,per mil VPDB,,speleothems,,isotope ratio mass spectrometry,N,']",16.2086,-89.0735,12,27,1,2,-54.0,1950.0,0.002004,0.0, AD,Belize, Development and Disintegration of Maya Political Systems in Response to Climate Change," Kennett, D.J., S.F.M. Breitenbach, V.V. Aquino, Y. Asmerom, J. Awe, J.U.L. Baldini, P. Bartlein, B.J. Culleton, C. Ebert, C. Jazwa, M. J. Macri, N. Marwan, V. Polyak, K. M. Prufer, H. E. Ridley, H. Sodemann, B. Winterhalder, G. H. Haug",10.1126/science.1226299,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\belize\yok-balum2012s3d18o-noaa.txt
30.0,['Meghalayan'],  Yok Balum Cave,"['## depth_mm\tdepth,,,millimeter,,speleothems,,,N,', '## age_AD\tage,,,year Common Era,,speleothems,,,N,', '## d13CcarbVPDB\tdelta 13C,calcium carbonate,,per mil VPDB,,speleothems,raw,isotope ratio mass spectrometry,N,', '## d18OcarbVPDB\tdelta 18O,calcium carbonate,,per mil VPDB,,speleothems,raw,isotope ratio mass spectrometry,N,']",16.2086,-89.0735,12,28,2,2,-39.0,2004.0,0.001989,0.0, AD,Belize, Development and Disintegration of Maya Political Systems in Response to Climate Change," Kennett, D.J., S.F.M. Breitenbach, V.V. Aquino, Y. Asmerom, J. Awe, J.U.L. Baldini, P. Bartlein, B.J. Culleton, C. Ebert, C. Jazwa, M. J. Macri, N. Marwan, V. Polyak, K. M. Prufer, H. E. Ridley, H. Sodemann, B. Winterhalder, G. H. Haug",10.1126/science.1226299,C:\Users\11\Desktop\石笋\-180-0\data\pub\data\paleo\speleothem\belize\yok-balum2012s4isotopes-noaa.txt
